Order Number,Order Date,Country,Product,Sale Total
12697,1/3/2018,United States of America,Desk,$136.00
12698,2/15/2018,Mexico,Desk,$359.00
12699,2/23/2018,United States of America,Desk,$336.00
12700,4/24/2018,United States of America,Desk,$401.00
12701,5/25/2018,Mexico,Desk,$198.00
12702,6/6/2018,France,Desk,$300.00
12703,7/4/2018,Germany,Desk,$324.00
12704,7/27/2018,Canada,Desk,$297.00
12705,8/10/2018,France,Desk,$143.00
12706,8/24/2018,Mexico,Desk,$221.00
12707,9/20/2018,France,Desk,$238.00
12708,10/3/2018,France,Desk,$326.00
12709,10/15/2018,Canada,Desk,$321.00
12710,10/19/2018,Canada,Desk,$203.00
12711,10/25/2018,Mexico,Desk,$386.00
12712,11/1/2018,Canada,Desk,$389.00
12713,12/4/2018,Germany,Desk,$301.00
